1,BBQ-Chicken-Salad,895,18,24,
2,Spinach-Power,915,12,16,
3,Garden-Salad,475,10,13,
4,Steak-Blue-Cheese,725,12,15,
5,Ceasars-Salad,675,13,15,
6,Chicken-Salad,915,15,21,
7,Mongolian-BBQ-Plate,975,21,31,
8,Club-Sandwich,635,13,18,
9,Belgian-Cheese-Sub,1025,15,19,
10,Rio-Grande-Beef-Sub,935,18,20,
11,Argentine-Asado-Club,1175,23,30,
12,Sierra-Sub,1038,12,15,
13,Avocado-BLT,805,12,13,
14,Soup-de-Egion,32,11,15,
15,Soup-de-Sur,275,6,9,
16,Coffee,125,2,4,
17,Hot-Tea,105,1,4,
18,Hot-Chocolate,215,1,2,
19,Mocha,325,2,3,
20,Cafe-Late,375,5,7,
